Certification,FournisseurPlant,NbAltisePlan,NbChenilleObserve,Grosseur,EmplacementChenille,NbPlantsCecidomyie,StadeDommages,Maladie,NbPlantsMaladie,EmplacementMaladie,QuantiteMaladie,MaladieSecondaire,PresenceMaladieSecondaire,MaladieEmplacementSecondaire,QuantiteMaladieSecondaire,StadeAlternaria,CouleurPlant,Carence,AnneeProduction,QteSemencesMillegrains,PopulationViseeParHa,QtePlantsRequis,TypePlateaux,SurplusPourcent,NbrePlateauxTotal,SuperficieTotaleHa,SuperficieCultiveeHa,RendementLbParHa,NbPlantsObserves,StadeCulture,NbPlantsVersGris,PoidsNet,Rejet_AutresDefauts,RejetDeclassement,Rejet_Dimensions,Rejet_Matiere_Etrangere,FertilizerAmount,IrrigationArea,IrrigationDuration,PesticideAmount,duree_visee,duree_obtenue
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,278,43055.64168,246278,288,0.1,907,6.5,5.72,29762.37,25,16,0,166493,0.56,0,0.78,0.27,2743,0,0,30.3875,67,66
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,253,43055.64168,223924,288,0.12,825,5.91,5.2,29762.37,25,16,0,131038,0.1,0,0.3,0.3,2523.57,0,0,27.6293,67,68
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,218,43055.64168,192855,288,0.12,710,5.09,4.48,29762.37,25,16,0,114629,0.66,0,0.98,0.31,2127.62,0,0,34.8918,66,73
1,0,0,3,4,4,1,0,2,0,4,0,1,0,3,3,1,0,0,2019,204,43055.64168,180730,288,0.05,666,4.77,4.2,29762.37,25,16,0,85336,0.35,0,1.14,0.24,1993.86,0,0,46.2929,65,71
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,223,43055.64168,197780,288,0.05,728,5.22,4.59,29762.37,25,17,0,130737,0.87,0,0.32,0.29,2181.96,0,0,54.314,65,70
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,238,43055.64168,210663,288,0.05,776,5.56,4.89,29762.37,25,16,0,158943,0.27,0,0.94,0.14,2318.52,0,0,66.1917,64,70
1,1,0,3,1,0,0,2,1,2,0,2,3,2,0,2,3,3,0,2019,0,28703.76112,57408,200,0,316,2,2,55115.5,25,12,0,106544,0.82,1.1,0.2,0,0,0,0,1.73,80,88
1,1,0,0,3,3,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,0,28703.76112,57408,200,0,316,2,2,55115.5,25,8.5,0,46408,1.24,1.69,0.24,0,0,0,0,1.916,80,85
1,1,0,0,3,3,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,0,28703.76112,57408,200,0,316,2,2,55115.5,25,8.5,0,208697,0.78,0.93,0.24,0,0,0,0,1.75,80,82
1,1,0,0,3,3,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,0,28703.76112,57408,200,0,316,2,2,55115.5,25,8.5,0,4359,1.24,0.53,0.23,0,0,0,0,0,80,86
1,1,0,0,3,3,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,0,28703.76112,57408,200,0,316,2,2,55115.5,25,8.5,0,44184,0.16,0.28,0.16,0,0,0,0,1.75,80,88
0,0,0,0,3,3,0,2,1,1,0,1,3,1,0,1,0,3,0,2019,280,43055.64168,243626,288,0.08,914,6.43,5.66,24250.82,25,13,0,37981,0.12,0,2.8,0.29,10001.96918,0,0,17.7726,69,76
0,0,0,0,3,3,0,2,1,2,0,2,1,0,3,3,3,3,0,2019,226,43055.64168,196644,288,0.08,738,5.19,4.57,24250.82,25,16,0,26777,0.1,0,2.8,0.29,10001.96918,0,0,13.4905,67,74
0,0,0,0,3,3,0,2,6,1,0,1,1,0,3,3,1,3,0,2019,192,43055.64168,170500,288,0.08,628,4.5,3.96,24250.82,25,15,0,64132,0.37,0,2.66,0.23,10001.96918,0,0,25.038,63,64
0,0,0,0,3,3,0,2,1,2,0,1,1,0,3,3,3,3,0,2019,45,43055.64168,40162,288,0.08,148,1.06,0.93,24250.82,25,15,0,16915,0.84,0,2.8,0.27,5636.3801,0,0,5.8978,67,74
0,0,0,0,3,3,0,2,1,2,0,1,1,0,3,3,3,3,0,2019,36,43055.64168,31448,288,0.08,116,0.83,0.73,24250.82,25,15,0,12652,0.11,0,2.8,0.4,4414.8591,0,0,4.6181,62,67
0,0,0,0,3,3,0,2,1,3,0,2,1,0,3,3,3,3,0,2019,264,43055.64168,229986,288,0.08,863,6.07,5.34,24250.82,25,16,0,102734,0.23,0,2.8,0.21,10001.96918,0,0,15.778,69,78
0,0,0,0,3,3,0,2,1,3,0,2,1,0,3,3,3,3,0,2019,214,43055.64168,185656,288,0.08,697,4.9,4.31,24250.82,25,16,0,44870,0.34,0,2.8,0.23,10001.96918,0,0,12.7367,68,76
0,0,0,0,3,3,1,1,2,0,4,0,1,0,3,3,1,3,0,2019,225,43055.64168,195886,288,0.08,735,5.17,4.55,24250.82,25,15,0,47888,0.48,0,2.8,0.17,10001.96918,0,0,13.4385,66,67
0,0,0,0,3,3,1,1,2,0,4,0,1,0,3,3,1,3,0,2019,247,43055.64168,214452,288,0.08,805,5.66,4.98,24250.82,25,16,0,60712,0.51,0,2.8,0.17,10001.96918,0,0,14.7122,67,76
0,0,0,0,3,3,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,111,43055.64168,96617,288,0.12,363,2.55,2.24,24250.82,25,16,0,24729,0.69,0,2.8,0.14,10001.96918,0,0,6.6283,67,75
0,0,0,0,3,3,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,172,43055.64168,149283,288,0.12,560,3.94,3.47,24250.82,25,16,0,30956,0.35,0,2.8,0.18,10001.96918,0,0,10.2413,67,76
0,0,0,0,3,3,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,162,43055.64168,140947,288,0.08,529,3.72,3.27,24250.82,25,15,0,44462,0.4,0,2.8,0.18,10001.96918,0,0,9.6694,67,73
0,0,0,0,3,3,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,123,43055.64168,107226,288,0.08,403,2.83,2.49,24250.82,25,9,0,28988,0.18,0,2.8,0.2,10001.96918,0,0,7.3561,67,71
0,0,2,3,1,0,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,11,28703.76112,9599,231,0.08,65.5,0.585,0.6248,44092.4,25,9,0,7679,1.24,0.99,2.18,0,1981.492,0,0,3.2804,80,85
0,0,2,3,1,0,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,11,28703.76112,9346,231,0.08,65.5,0.585,0.6248,44092.4,25,9,0,4734,0.49,1.793169399,0.8,0,1929.3474,0,0,3.1942,76,81
0,0,2,3,1,0,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,13,28703.76112,10862,231,0.08,65.5,0.585,0.6248,44092.4,25,9,0,2565,0,0.7,2.48,0,2242.2146,0,0,3.7122,98,83
0,0,2,3,4,4,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,185,28703.76112,155092,231,0.08,752,6.14,5.4,44092.4,25,11,0,127350,0.68,1.793169399,2.43,0,10001.96918,0,0,40.3331,89,98
0,0,2,3,4,4,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,180,28703.76112,151051,231,0.08,733,5.98,5.26,44092.4,25,11,0,59128,1.17,1.793169399,2.8,0,10001.96918,0,0,51.6247,89,86
0,0,2,3,1,4,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,166,28703.76112,139179,231,0.08,675,5.51,4.85,44092.4,25,9,0,118193,0.24,1.793169399,2.8,0,10001.96918,0,0,47.5672,89,90
0,0,2,3,1,4,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,188,28703.76112,158123,231,0.06,767,6.26,5.51,44092.4,25,9,0,145530,0.11,1.793169399,2.8,0,10001.96918,0,0,54.0419,89,85
0,0,2,3,1,0,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,130,28703.76112,108868,231,0.06,528,4.31,3.79,44092.4,25,8.5,0,52527,0.15,1.793169399,2.8,0,10001.96918,0,0,28.3119,100,113
0,0,0,3,1,0,0,2,0,2,0,2,3,2,0,1,1,3,0,2019,139,28703.76112,116698,231,0.12,566,4.62,4.07,44092.4,25,12,0,98617,0.93,1.793169399,0.57,0,10001.96918,0,0,42.1714,89,72
0,0,2,3,1,4,0,2,0,2,0,2,3,2,0,1,1,3,0,2019,93,28703.76112,78051,231,0.12,379,3.09,2.72,44092.4,25,12,0,65676,0.76,1.793169399,2.19,0,10001.96918,0,0,28.2056,89,76
0,0,2,3,1,4,0,2,0,2,0,2,3,2,0,1,1,3,0,2019,151,28703.76112,126297,231,0.08,613,5,4.4,44092.4,25,12,0,138237,0.44,1.793169399,2.69,0,10001.96918,0,0,45.64,89,78
0,0,2,3,1,0,0,2,0,2,0,2,1,0,3,3,1,3,0,2019,61,28703.76112,50771,231,0.08,247,2.01,1.77,44092.4,25,11,0,81991,0.76,1.793169399,1.98,0,10001.96918,0,0,17.352,90,89
0,0,2,3,1,0,0,2,0,2,0,2,1,0,3,3,1,3,0,2019,131,28703.76112,109878,231,0.08,533,4.35,3.83,44092.4,25,11,0,73542,0.87,1.793169399,0.93,0,10001.96918,0,0,37.5531,90,86
0,0,0,3,1,2,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,223,43055.64168,194370,288,0.08,729,5.13,4.51,24250.82,25,14,0,62788,0.05,0,2.8,0.28,371.925,0,0,23.2286,66,70
0,0,0,3,1,2,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,224,43055.64168,194749,288,0.08,731,5.14,4.52,24250.82,25,14,0,26477,0.11,0,2.8,0.33,372.65,0,0,23.274,66,72
0,0,0,3,1,2,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,223,43055.64168,194370,288,0.08,729,5.13,4.51,24250.82,25,14,0,28306,0.06,0,2.8,0.21,365.256,0,0,23.2286,66,70
